2 1:44.2132505762 2:18.4480974843 3:0.794399737649 4:0.961588629871 5:0.978050670405 6:0.506564514988 7:0.247227401994 8:0.207234044689 9:-0.026025707456 10:0.068537216142 11:0.00699570753714 12:0.13767910908 13:0.141174562728 14:-0.0391429317305 15:0.0874511278273 16:0.0840377772132 17:-0.0592185943984
2 1:19.5725955404 2:14.8842985196 3:0.72119793496 4:6.78737915716 5:1.68192975067 6:0.572433193979 7:0.186863797252 8:0.180659771618 9:0.0674086706884 10:0.056286096065 11:0.00207928928151 12:0.172518115628 13:0.108723047053 14:-0.00953474291963 15:0.0772671106964 16:0.0807062908358 17:0.000336081232985
2 1:19.5731871219 2:10.1249955642 3:0.810565063331 4:11.1289936433 5:1.302507057 6:0.534433062713 7:0.251962212179 8:0.230104948688 9:-0.188409230062 10:0.0674709202421 11:0.0149523122155 12:0.135934368492 13:0.13270572856 14:0.00473124930908 15:0.0994403070674 16:0.0809057509346 17:-0.0362564179722
2 1:20.3302194815 2:9.541247533 3:0.801184665589 4:0.422985113619 5:1.45919265631 6:0.379453655641 7:0.327689389445 8:0.234762308307 9:-0.101065832721 10:0.0558423798471 11:0.0901105930095 12:0.207188641272 13:0.168792019185 14:-0.0196337767696 15:0.11064067481 16:0.0992086178002 17:-0.0454725970701
2 1:13.6363023216 2:8.45166629995 3:0.839548506345 4:0.753109356047 5:0.536540185171 6:0.6986924137 7:0.225167327756 8:0.184469427339 9:-0.164427891418 10:0.00846389747623 11:0.0228972240909 12:0.118274835759 13:0.128650556209 14:0.0106928315113 15:0.089694007379 16:0.0824253402919 17:-0.00671167531501
2 1:25.4874060418 2:8.09498281858 3:0.779707410383 4:0.655766655215 5:0.899873037138 6:0.657871619487 7:0.480556986249 8:0.484455649609 9:-0.218277334561 10:-0.104948196261 11:-0.197998571214 12:0.228266285587 13:0.186800472761 14:-0.0364830112141 15:0.111800515722 16:0.118135296167 17:0.0667302561729
2 1:38.5619170135 2:7.67466450946 3:0.81727479439 4:0.315798592393 5:0.73386760313 6:0.264067573611 7:0.242133491838 8:0.225057843865 9:-0.268336380928 10:-0.0956597294084 11:0.151601240084 12:0.23425920557 13:0.277946000662 14:0.0485799361456 15:0.121883371886 16:0.131723819166 17:0.0391925338186
2 1:18.4166443314 2:15.040957604 3:0.750650576576 4:5.02253410452 5:1.26692489804 6:0.633043020463 7:0.250391187946 8:0.27371100862 9:-0.103703588888 10:-0.727760021537 11:-0.079822036888 12:0.17658626557 13:0.175046156947 14:0.185085812262 15:0.140636813353 16:0.119137236577 17:-0.0291441338832
2 1:11.6253374054 2:4.50334836641 3:0.828934191667 4:0.386465300573 5:0.835099915067 6:0.487224325412 7:0.232112334118 8:0.216385746348 9:-0.106542544459 10:-0.044651009495 11:-0.040300848265 12:0.142073561822 13:0.143363347474 14:-0.0417944698437 15:0.0950247451373 16:0.106704680481 17:-0.0236036666386
2 1:21.6747317195 2:7.32578562898 3:0.793868237878 4:0.698025527611 5:0.485899821367 6:0.346309253568 7:0.18770493694 8:0.243336078501 9:0.265181418453 10:-0.731861226274 11:-0.277135175196 12:0.152209226281 13:0.127799167153 14:-0.185335056636 15:0.108494537051 16:0.11096497788 17:0.090440631806
2 1:29.0074086994 2:11.2804507909 3:0.86407790546 4:0.92624690261 5:0.873870256414 6:0.406450600837 7:0.26165784612 8:0.218564005783 9:0.0844276262259 10:-0.0925817980311 11:0.0039424761782 12:0.150205497611 13:0.149297778569 14:0.0539378014817 15:0.0953338321625 16:0.0855066966025 17:0.0266027181674
2 1:9.95066403244 2:4.66216874456 3:0.792139604477 4:3.68143624782 5:1.01465713604 6:0.420558259019 7:0.192906967021 8:0.19656504335 9:-0.0910442585558 10:0.0221186825048 11:0.0164990850823 12:0.127948763824 13:0.118994486487 14:0.0060009603814 15:0.0751644914197 16:0.0792728869353 17:0.00277728870155
